"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 12, 2018","5,265.84","5,275.76","5,292.94","5,259.87","-","-0.19%"
"Dec 11, 2018","5,275.76","5,295.69","5,310.71","5,259.40","-","-0.38%"
"Dec 10, 2018","5,295.69","5,306.22","5,329.41","5,281.14","-","-0.20%"
"Dec 09, 2018","5,306.22","5,332.80","5,345.42","5,305.68","-","-0.50%"
"Dec 06, 2018","5,332.80","5,361.11","5,370.24","5,326.29","-","-0.53%"
"Dec 05, 2018","5,361.11","5,345.42","5,384.74","5,345.42","-","0.29%"
"Dec 04, 2018","5,345.42","5,296.55","5,350.72","5,296.55","-","0.92%"
"Dec 03, 2018","5,296.55","5,290.76","5,319.62","5,290.76","-","0.11%"
"Dec 02, 2018","5,290.76","5,281.25","5,297.60","5,275.41","-","0.18%"
"Nov 29, 2018","5,281.25","5,286.72","5,300.87","5,272.44","-","-0.10%"
"Nov 28, 2018","5,286.72","5,288.54","5,304.09","5,281.24","-","-0.03%"
"Nov 27, 2018","5,288.54","5,279.25","5,304.24","5,279.25","-","0.18%"
"Nov 26, 2018","5,279.25","5,276.24","5,291.34","5,276.24","-","0.06%"
"Nov 25, 2018","5,276.24","5,305.95","5,313.19","5,268.38","-","-0.56%"
"Nov 22, 2018","5,305.95","5,298.83","5,326.40","5,298.83","-","0.13%"
"Nov 20, 2018","5,298.83","5,257.10","5,309.06","5,257.10","-","0.79%"
"Nov 19, 2018","5,257.10","5,256.06","5,281.05","5,251.95","-","0.01%"
"Nov 18, 2018","5,256.71","5,255.79","5,258.40","5,254.49","-","0.23%"
"Nov 15, 2018","5,244.62","5,245.58","5,254.39","5,237.62","-","-0.02%"
"Nov 14, 2018","5,245.58","5,258.58","5,277.26","5,234.77","-","-0.25%"
"Nov 13, 2018","5,258.58","5,239.06","5,265.45","5,239.06","-","0.37%"
"Nov 12, 2018","5,239.06","5,278.97","5,285.24","5,235.74","-","-0.76%"
"Nov 11, 2018","5,278.97","5,259.11","5,304.72","5,259.11","-","0.38%"
"Nov 08, 2018","5,259.11","5,242.21","5,269.86","5,242.21","-","0.32%"
"Nov 07, 2018","5,242.21","5,204.35","5,248.64","5,204.35","-","0.73%"
"Nov 06, 2018","5,204.35","5,224.94","5,239.62","5,203.35","-","-0.39%"
"Nov 05, 2018","5,224.94","5,238.98","5,269.21","5,223.83","-","-0.27%"
"Nov 04, 2018","5,238.98","5,258.47","5,270.82","5,234.79","-","-0.37%"
"Nov 01, 2018","5,258.47","5,284.12","5,298.39","5,254.52","-","-0.49%"
"Oct 31, 2018","5,284.12","5,299.07","5,309.44","5,275.53","-","-0.28%"
"Oct 30, 2018","5,299.07","5,246.51","5,317.98","5,246.51","-","1.00%"
"Oct 29, 2018","5,246.51","5,212.23","5,257.39","5,190.41","-","0.66%"
"Oct 28, 2018","5,212.23","5,282.04","5,282.35","5,212.23","-","-1.32%"
"Oct 25, 2018","5,282.04","5,276.33","5,309.80","5,273.46","-","0.11%"
"Oct 24, 2018","5,276.33","5,252.67","5,295.88","5,252.67","-","0.45%"
"Oct 23, 2018","5,252.67","5,251.95","5,288.35","5,231.32","-","0.01%"
"Oct 22, 2018","5,251.95","5,331.16","5,340.49","5,251.95","-","-1.49%"
"Oct 21, 2018","5,331.16","5,381.51","5,404.81","5,326.71","-","-0.94%"
"Oct 18, 2018","5,381.51","5,380.78","5,394.30","5,365.98","-","0.01%"
"Oct 17, 2018","5,380.78","5,399.88","5,416.16","5,376.99","-","-0.35%"
"Oct 16, 2018","5,399.88","5,384.41","5,406.50","5,366.27","-","0.29%"
"Oct 15, 2018","5,384.41","5,446.40","5,454.18","5,380.73","-","-1.14%"
"Oct 14, 2018","5,446.40","5,435.01","5,470.68","5,431.35","-","0.21%"
"Oct 11, 2018","5,435.01","5,436.15","5,475.70","5,434.10","-","-0.02%"
"Oct 10, 2018","5,436.15","5,455.81","5,467.23","5,433.12","-","-0.36%"
"Oct 09, 2018","5,455.81","5,440.94","5,499.79","5,440.94","-","0.27%"
"Oct 08, 2018","5,440.94","5,410.81","5,462.09","5,410.81","-","0.56%"
"Oct 07, 2018","5,410.81","5,418.27","5,434.37","5,402.66","-","-0.14%"
"Oct 04, 2018","5,418.27","5,422.65","5,444.61","5,409.23","-","-0.08%"
"Oct 03, 2018","5,422.65","5,380.93","5,433.34","5,380.93","-","0.78%"
"Oct 02, 2018","5,380.93","5,369.91","5,394.76","5,369.91","-","0.21%"
"Oct 01, 2018","5,369.91","5,368.95","5,411.33","5,367.44","-","0.02%"
"Sep 30, 2018","5,368.95","5,342.88","5,376.23","5,321.70","-","0.49%"
"Sep 27, 2018","5,342.88","5,390.85","5,401.84","5,330.94","-","-0.89%"
"Sep 26, 2018","5,390.85","5,386.88","5,415.54","5,385.58","-","0.07%"
"Sep 25, 2018","5,386.88","5,357.54","5,391.71","5,347.08","-","0.55%"
"Sep 24, 2018","5,357.54","5,415.24","5,425.72","5,349.30","-","-1.07%"
"Sep 23, 2018","5,415.24","5,467.05","5,472.69","5,410.47","-","-0.95%"
"Sep 20, 2018","5,467.05","5,505.05","5,529.57","5,463.97","-","-0.90%"
"Sep 19, 2018","5,516.50","5,472.60","5,538.26","5,472.60","-","0.80%"
"Sep 18, 2018","5,472.60","5,443.80","5,487.37","5,443.80","-","0.53%"
"Sep 17, 2018","5,443.80","5,464.17","5,478.15","5,436.35","-","-0.37%"
"Sep 16, 2018","5,464.17","5,500.61","5,517.91","5,461.95","-","-0.66%"
"Sep 13, 2018","5,500.61","5,529.81","5,551.57","5,496.41","-","-0.51%"
"Sep 12, 2018","5,528.85","5,543.93","5,569.91","5,527.11","-","-0.27%"
"Sep 11, 2018","5,543.93","5,540.11","5,568.64","5,540.11","-","0.07%"
"Sep 10, 2018","5,540.11","5,549.78","5,573.23","5,539.01","-","-0.17%"
"Sep 09, 2018","5,549.78","5,574.24","5,587.45","5,548.04","-","-0.44%"
"Sep 06, 2018","5,574.24","5,562.23","5,608.87","5,562.23","-","0.22%"
"Sep 05, 2018","5,562.23","5,552.80","5,587.30","5,552.80","-","0.17%"
"Sep 04, 2018","5,552.80","5,590.42","5,607.80","5,548.70","-","-0.67%"
"Sep 03, 2018","5,590.42","5,600.64","5,624.56","5,585.02","-","-0.18%"
"Aug 30, 2018","5,600.64","5,603.25","5,631.42","5,600.64","-","-0.18%"
"Aug 29, 2018","5,610.79","5,619.41","5,641.76","5,598.04","-","-0.15%"
"Aug 28, 2018","5,619.41","5,584.97","5,624.32","5,584.97","-","0.62%"
"Aug 27, 2018","5,584.97","5,596.91","5,614.56","5,572.56","-","-0.21%"
"Aug 26, 2018","5,596.91","5,571.19","5,602.50","5,552.16","-","0.46%"
"Aug 20, 2018","5,571.19","5,538.50","5,578.62","5,514.83","-","0.59%"
"Aug 19, 2018","5,538.50","5,467.74","5,546.83","5,467.74","-","1.29%"
"Aug 16, 2018","5,467.74","5,408.45","5,479.43","5,408.45","-","1.10%"
